fecha,year,month,disponibilidad,demanda_maxima,afectacion,deficit,respaldo,horario_pico,unidades_averia,unidades_mantenimiento,limitacion_termica,motores_impacto
2022-12-02 10:34:00,2022,diciembre,2235.0,3170.0,1005.0,935.0,0,0,4,0,313.0,918.0
2022-12-03 10:41:00,2022,diciembre,2419.0,3080.0,731.0,661.0,0,82,5,2,271.0,915.0
2022-12-05 08:38:00,2022,diciembre,2511.0,2900.0,659.0,389.0,1,79,3,2,273.0,902.0
2022-12-06 08:46:00,2022,diciembre,2533.0,2900.0,437.0,367.0,1,79,6,2,449.0,871.0
2022-12-07 09:10:00,2022,diciembre,2632.0,2750.0,188.0,118.0,0,0,7,2,371.0,903.0
2022-12-08 08:53:00,2022,diciembre,2424.0,2750.0,396.0,326.0,1,0,7,2,308.0,886.0
2022-12-11 09:06:00,2022,diciembre,2620.0,2700.0,150.0,80.0,1,64,6,4,355.0,871.0
2022-12-12 08:42:00,2022,diciembre,2740.0,2750.0,80.0,10.0,0,64,6,4,305.0,876.0
2022-12-13 08:46:00,2022,diciembre,2474.0,2750.0,346.0,276.0,0,64,7,4,209.0,872.0
2022-12-14 08:42:00,2022,diciembre,2583.0,2780.0,267.0,197.0,0,64,7,2,309.0,880.0
2023-01-05 08:19:00,2023,enero,2688.0,2760.0,142.0,72.0,0,64,8,3,262.0,897.0
2023-01-06 09:08:00,2023,enero,2585.0,2700.0,185.0,115.0,0,82,7,4,284.0,888.0
2023-01-09 08:59:00,2023,enero,2555.0,2750.0,265.0,195.0,0,82,5,6,348.0,900.0
2023-01-10 09:02:00,2023,enero,2602.0,2650.0,118.0,48.0,0,82,5,6,360.0,832.0
2023-01-11 08:06:00,2023,enero,2585.0,2680.0,165.0,95.0,0,64,5,6,361.0,822.0
2023-01-13 09:02:00,2023,enero,2496.0,2600.0,174.0,104.0,1,79,6,6,332.0,796.0
2023-01-17 07:56:00,2023,enero,2637.0,2640.0,70.0,3.0,0,59,6,6,316.0,800.0
2023-01-23 10:09:00,2023,enero,2386.0,2780.0,464.0,394.0,0,79,7,4,805.0,823.0
2023-01-24 09:42:00,2023,enero,2289.0,2800.0,581.0,511.0,0,61,8,4,179.0,824.0
2023-01-25 08:18:00,2023,enero,2455.0,2900.0,515.0,445.0,0,59,6,5,172.0,832.0
2023-01-26 09:20:00,2023,enero,2627.0,2850.0,293.0,223.0,0,79,6,5,290.0,826.0
2023-01-27 08:39:00,2023,enero,2638.0,2780.0,212.0,142.0,0,64,6,5,305.0,809.0
2023-02-02 09:11:00,2023,febrero,2756.0,2780.0,94.0,24.0,0,47,8,3,262.0,816.0
2023-02-06 09:11:00,2023,febrero,2723.0,2800.0,147.0,77.0,0,64,6,4,260.0,833.0
2023-02-08 09:13:00,2023,febrero,2658.0,2775.0,187.0,117.0,0,79,3,2,301.0,858.0
2023-02-09 08:14:00,2023,febrero,2585.0,2800.0,285.0,215.0,0,59,7,4,202.0,865.0
2023-02-10 08:37:00,2023,febrero,2573.0,2780.0,277.0,207.0,0,73,8,3,162.0,922.0
2023-02-11 10:21:00,2023,febrero,2475.0,2800.0,395.0,325.0,0,56,8,3,271.0,868.0
2023-02-12 09:22:00,2023,febrero,2647.0,2700.0,123.0,53.0,0,79,6,2,278.0,820.0
2023-02-13 08:25:00,2023,febrero,2668.0,2780.0,182.0,112.0,0,59,6,2,284.0,859.0
2023-02-14 09:11:00,2023,febrero,2739.0,2790.0,121.0,51.0,0,79,6,3,313.0,795.0
2023-02-15 08:50:00,2023,febrero,2623.0,2750.0,197.0,127.0,0,64,6,3,328.0,838.0
2023-02-17 08:34:00,2023,febrero,2737.0,2760.0,93.0,23.0,0,79,5,3,422.0,821.0
2023-02-18 08:42:00,2023,febrero,2670.0,2700.0,100.0,30.0,0,0,6,3,235.0,843.0
2023-02-19 09:55:00,2023,febrero,2635.0,2680.0,115.0,45.0,0,64,4,2,383.0,833.0
2023-02-20 08:09:00,2023,febrero,2674.0,2770.0,166.0,96.0,1,79,5,3,380.0,876.0
2023-02-21 10:32:00,2023,febrero,2303.0,2800.0,567.0,497.0,1,79,7,4,258.0,866.0
2023-02-22 09:13:00,2023,febrero,2451.0,2865.0,484.0,414.0,0,82,8,4,218.0,869.0
2023-02-23 08:35:00,2023,febrero,2456.0,2850.0,464.0,394.0,0,79,0,2,365.0,913.0
2023-02-24 07:53:00,2023,febrero,2322.0,2850.0,598.0,528.0,0,79,3,4,167.0,849.0
2023-02-25 08:59:00,2023,febrero,2435.0,2800.0,435.0,365.0,0,13,0,2,172.0,903.0
2023-02-26 09:49:00,2023,febrero,2376.0,2700.0,324.0,324.0,0,13,0,2,192.0,887.0
2023-02-27 08:22:00,2023,febrero,2346.0,2855.0,579.0,509.0,0,79,0,2,166.0,904.0
2023-02-28 08:11:00,2023,febrero,2415.0,2830.0,485.0,415.0,0,79,0,2,204.0,885.0
2023-03-02 08:46:00,2023,marzo,2655.0,2780.0,195.0,125.0,0,80,0,0,244.0,882.0
2023-03-03 09:44:00,2023,marzo,2541.0,2800.0,329.0,259.0,0,13,0,2,214.0,920.0
2023-03-05 09:08:00,2023,marzo,2620.0,2700.0,150.0,80.0,1,42,0,2,250.0,911.9
2023-03-06 08:49:00,2023,marzo,2434.0,2860.0,496.0,426.0,0,82,0,2,206.0,924.0
2023-03-07 08:57:00,2023,marzo,2277.0,2860.0,653.0,583.0,0,69,0,2,237.0,933.0
2023-03-08 09:01:00,2023,marzo,2295.0,2880.0,655.0,585.0,0,82,2,2,212.0,903.0
2023-03-09 09:01:00,2023,marzo,2165.0,2885.0,790.0,720.0,0,0,5,3,165.0,940.0
2023-03-10 09:04:00,2023,marzo,2260.0,2885.0,695.0,625.0,0,73,2,2,195.0,903.0
2023-03-11 10:16:00,2023,marzo,2340.0,2820.0,550.0,480.0,0,13,3,3,224.0,909.0
